,show_id,title,country,year_added,release_year,latest_release_year,seasons,runtimeMinutes,genres,main_category,audience_rating,averageRating,numVotes
128,70202589,Sherlock,United Kingdom,2017,2019,2017,4,0,Crime,British TV Shows,3,5.4,17
129,80195522,Wanted,Australia,2018,1996,2018,3,60,Game-Show,Crime TV Shows,3,7.4,17
130,81213155,"Crazy, Lovely, Cool",Unspecified,2019,2018,2018,1,50,Romance,International TV Shows,4,7.1,17
131,80161851,Pioneers Of African-American Cinema,United States,2017,2015,1946,1,55,Drama,TV Shows,3,5.3,17
132,80042177,Sammy & Co,France,2015,2014,2014,1,10,Animation,Kids' TV,1,5.5,17
133,80157645,Unriddle,Singapore,2017,2010,2012,2,60,Action,Crime TV Shows,3,7.8,17
134,80229852,Little Singham,Unspecified,2018,2018,2019,1,12,Action,Kids' TV,3,4.5,17
135,80222133,Border Patrol,Unspecified,2019,1959,2016,1,30,Adventure,Reality TV,2,8.1,17
136,80173481,Highland: Thailand'S Marijuana Awakening,Thailand,2017,2017,2017,1,0,Documentary,Docuseries,4,6.5,17
137,81179821,My Mvp Valentine,Taiwan,2019,2002,2002,1,46,Drama,International TV Shows,2,6.4,18
138,81122206,Til Death Do Us Part,Taiwan,2019,2019,2019,1,0,Mystery,International TV Shows,4,6.6,18
139,81038583,Strongland,Unspecified,2019,2018,2018,1,0,Documentary,Docuseries,2,7.5,18
140,80170245,Juana Brava,Chile,2017,2015,2015,1,60,Drama,International TV Shows,4,7.0,18
141,80242065,Sleepless Society: Nyctophobia,Thailand,2019,2019,2019,1,0,Mystery,International TV Shows,4,5.8,18
142,80157714,Together,Singapore,2017,1980,2009,1,30,Drama,International TV Shows,4,6.5,18
143,80226089,Luo Bao Bei,China,2019,2018,2018,1,0,Animation,British TV Shows,1,7.4,18
144,81176196,The Rap Game,United States,2019,2019,2016,1,0,Reality-TV,Reality TV,3,6.7,18
145,81072571,Tobot,Canada,2019,2018,2018,2,22,Animation,Kids' TV,3,6.1,18
146,81032812,Inst@Famous,United Kingdom,2018,2018,2018,1,0,Reality-TV,Reality TV,4,3.9,18
147,80111275,The Year Of Happiness And Love,Taiwan,2016,2009,2009,1,0,Drama,International TV Shows,3,5.4,19
148,81033895,Hardy Bucks,Ireland,2019,2017,2018,4,0,Comedy,TV Comedies,4,8.9,19
149,81020635,See You In Time,Unspecified,2019,2017,2017,1,0,Romance,International TV Shows,3,7.4,19
150,80113894,The Irish Mob,Unspecified,2016,2016,2008,1,45,Documentary,Crime TV Shows,4,6.7,19
151,81014293,Nuestra Lucha Libre,Unspecified,2018,2018,2018,1,28,Documentary,Docuseries,4,7.4,19
152,81099997,Flowering Heart,South Korea,2019,2016,2016,1,0,Animation,Kids' TV,3,6.5,19
153,80094386,Cain And Abel,South Korea,2019,2016,2009,1,54,Romance,International TV Shows,3,6.7,19
154,80059446,Wormwood,United States,2017,2007,2017,1,24,Adventure,Crime TV Shows,3,6.1,19
155,81007175,Wolf,Turkey,2018,2014,2018,1,60,News,International TV Shows,4,3.3,19
156,81066709,Midnight Misadventures With Mallika Dua,India,2019,2018,2018,1,0,Comedy,International TV Shows,3,3.1,19
157,80140364,A Good Wife,Taiwan,2017,2013,2013,1,0,Romance,International TV Shows,3,7.5,20
158,80189209,What She Put On The Table,Taiwan,2017,2017,2017,1,90,Drama,International TV Shows,2,7.1,20
159,81104339,In The Bosom Of A Thorn,Unspecified,2019,2019,2019,1,0,Drama,International TV Shows,3,7.8,20
160,80207879,Sab Jholmaal Hai,India,2019,2017,2017,4,0,Animation,Kids' TV,1,5.5,20
161,81179844,At The Dolphin Bay,Taiwan,2019,2003,2003,1,0,Comedy,International TV Shows,3,7.0,20
162,80112075,Love Me Or Leave Me,Taiwan,2016,2012,2012,1,0,Romance,International TV Shows,3,5.8,20
163,80202454,Chuck Chicken,Malaysia,2017,2015,2017,1,0,Adventure,Kids' TV,3,6.0,21
164,80140490,Happy 300 Days,Taiwan,2017,2013,2013,1,75,Drama,International TV Shows,3,4.6,21
165,81020716,Lavender,Taiwan,2019,2001,2002,1,45,Drama,International TV Shows,3,6.3,21
166,80163369,Singles Villa,China,2017,2015,2015,1,90,Romance,International TV Shows,3,7.5,21
167,80140938,In Between,Taiwan,2017,2012,2012,1,75,Drama,International TV Shows,3,7.5,21
168,80198350,Bat Pat,Italy,2017,2015,2016,1,0,Animation,Kids' TV,1,6.8,21
169,81006334,Super Monsters Monster Pets,United States,2019,2019,2019,1,0,Animation,Kids' TV,1,6.5,21
170,81032872,Jojo'S World,Taiwan,2018,2017,2017,1,75,Drama,International TV Shows,3,7.4,21
171,81094893,Pili Fantasy: War Of Dragons,Unspecified,2019,1988,2019,1,0,Action,International TV Shows,3,7.4,21
172,81151079,Morphle,Netherlands,2019,2011,2011,1,0,Adventure,British TV Shows,1,5.2,21
173,81034099,Jeopardy!,United States,2019,1990,2019,5,25,Game-Show,Reality TV,1,5.3,21
174,80058427,Lego Friends: The Power Of Friendship,Denmark,2016,2016,2016,2,23,Animation,Kids' TV,3,5.7,21
175,80136795,Kopitiam,Malaysia,2018,1998,2003,7,0,Comedy,International TV Shows,3,9.0,22
176,80991107,Mr. Sunshine,South Korea,2018,1986,2018,1,30,Comedy,International TV Shows,4,6.8,22
177,81014811,The Creative Indians,Unspecified,2018,2016,2017,1,0,Documentary,Docuseries,0,9.2,22
178,80112077,Love Family,Taiwan,2016,2013,2013,1,48,Drama,International TV Shows,3,7.7,22
179,80175275,Vroomiz,South Korea,2017,2012,2016,3,11,Adventure,Kids' TV,1,4.9,22
180,81082781,The Writer,Lebanon,2019,2015,2019,1,25,Drama,Crime TV Shows,4,8.1,22
181,80116687,Momo Salon,South Korea,2017,2014,2014,1,9,Comedy,International TV Shows,3,5.8,22
182,70136152,Spartacus,United States,2015,2005,2013,4,0,Animation,TV Action & Adventure,4,7.0,22
183,80185003,P. King Duckling,United States,2017,2016,2016,1,0,Animation,Kids' TV,1,6.2,22
184,80179556,Skin Wars: Fresh Paint,United States,2018,2015,2016,1,60,Game-Show,Reality TV,3,7.0,23
185,80235864,Bodyguard,United Kingdom,2018,2003,2018,1,0,Comedy,British TV Shows,4,6.3,23
186,81197399,"Wait, My Youth",Unspecified,2019,2019,2019,1,0,Romance,International TV Shows,2,8.5,23
187,80190843,First And Last,Unspecified,2018,2020,2018,1,45,Documentary,Docuseries,4,5.8,23
188,81044551,The Circle,Unspecified,2020,2010,2020,1,120,Talk-Show,Reality TV,4,5.3,23
189,80176929,Abnormal Summit,South Korea,2017,2014,2017,2,0,Game-Show,International TV Shows,2,7.3,23
190,81063049,The Bomb Squad,United Kingdom,2019,2011,2011,1,0,Documentary,British TV Shows,4,7.6,23
191,80179905,Insatiable,United States,2019,2007,2019,2,0,Comedy,TV Comedies,4,6.6,24
192,80221787,Bad Blood,Canada,2019,2015,2019,2,0,Crime,Crime TV Shows,4,6.4,24
193,80202859,The Bachelor,Unspecified,2019,2003,2009,1,60,Reality-TV,Reality TV,3,2.1,24
194,80097248,Masha'S Spooky Stories,United States,2016,2012,2012,1,22,Animation,Kids' TV,1,5.0,24
195,80169786,Medal Of Honor,United States,2018,2000,2018,1,60,Action,Docuseries,4,7.8,24
196,81072883,The Outsiders,Taiwan,2019,1976,2004,1,60,Adventure,Crime TV Shows,4,8.6,25
197,80176878,Manhunt,United States,2017,1959,2017,1,30,Crime,Crime TV Shows,3,8.2,25
198,81128790,Eurovision Song Contest,Unspecified,2019,1975,2019,1,0,Music,International TV Shows,2,7.2,25
199,80160504,La Doña,United States,2018,2011,2016,1,30,Drama,Spanish-Language TV Shows,3,7.6,25
200,80178726,Dope,United States,2019,2017,2019,3,31,Thriller,Crime TV Shows,4,7.4,25
201,70281526,The Fosters,United States,2017,1976,2017,5,30,Comedy,TV Dramas,3,7.5,25
202,81032867,Love @ Seventeen,Taiwan,2018,2016,2016,1,75,Drama,International TV Shows,3,6.5,25
203,80163279,Best Lover,Unspecified,2018,2016,2016,1,35,Drama,International TV Shows,3,5.8,26
204,80121845,Love Is In The Air,Unspecified,2017,2010,2010,1,43,Romance,International TV Shows,2,8.6,26
205,70171946,Heartland,Canada,2019,1989,2017,11,30,Comedy,TV Dramas,2,7.7,26
206,80989891,Fit For Fashion,Unspecified,2018,2014,2015,2,0,Reality-TV,International TV Shows,3,6.2,26
207,80097141,Godless,United States,2017,2011,2017,1,60,Documentary,TV Dramas,4,7.8,26
208,80178427,Bad Guys,South Korea,2019,2016,2014,1,12,Comedy,Crime TV Shows,4,5.8,26
209,80204929,Cheapest Weddings,Australia,2017,2016,2016,1,0,Reality-TV,International TV Shows,3,5.8,27
210,80114588,Behind Enemy Lines,United States,2016,2001,2001,1,0,Drama,British TV Shows,3,7.0,28
211,81032873,Lion Pride,Taiwan,2018,2017,2017,1,78,Romance,International TV Shows,3,7.4,28
212,81072852,Angel 'N' Devil,Taiwan,2019,2014,2014,1,50,Fantasy,International TV Shows,3,5.0,28
213,80202376,Harry & Bunnie,Malaysia,2017,2016,2017,1,21,Adventure,Kids' TV,3,3.9,29
214,80236236,Another Life,United States,2019,1981,2019,1,30,Drama,TV Action & Adventure,4,6.7,29
215,80231523,The Minimighty Kids,France,2018,2008,2012,2,8,Animation,Kids' TV,1,6.0,29
216,80227186,Simon,Unspecified,2018,1995,2016,1,30,Comedy,Kids' TV,1,6.2,29
217,80224312,History'S Greatest Hoaxes,Australia,2019,2016,2016,1,0,Documentary,British TV Shows,2,6.0,29
218,70142436,Merlin,United Kingdom,2016,1980,2012,5,25,Adventure,British TV Shows,2,6.4,29
219,80200913,Tip The Mouse,Germany,2017,2014,2014,1,0,Animation,Kids' TV,1,6.6,29
220,80095411,Gypsy,United States,2017,1995,2017,1,60,Drama,TV Dramas,4,7.2,31
221,80121872,Jhansi Ki Rani,India,2017,2019,2009,1,0,Drama,International TV Shows,3,7.2,31
222,80163266,Under The Black Moonlight,South Korea,2017,2016,2016,1,10,Drama,International TV Shows,3,4.7,31
223,80027271,The Messengers,United States,2016,2006,2015,1,60,Reality-TV,TV Dramas,2,5.6,31
224,80177342,Good Girls,United States,2019,2016,2018,1,0,Comedy,Crime TV Shows,3,8.0,31
225,81140259,Zona Rosa,Mexico,2019,2019,2019,1,0,Comedy,International TV Shows,4,5.9,32
226,80212251,Welcome To The Family,Spain,2018,2010,2018,1,0,Reality-TV,International TV Shows,4,5.9,32
227,80027373,Oh No! It'S An Alien Invasion,Canada,2015,2013,2014,2,11,Animation,Kids' TV,3,5.5,32
228,80989848,Save Our Shelter,United States,2018,2015,2015,1,0,Family,Reality TV,1,7.4,32
